01;P;02851;2007
01;P;13886;2005
01;P;04135;2008
16;P;24119;2007
01;P;18618;2009
01;P;20724;2009
01;P;26614;2009
01;P;22569;2004
01;P;24265;2005
01;P;03772;2009
01;P;26232;2004
01;P;18291;2001
01;P;21920;2007
01;P;11386;2007
01;P;20458;2008
01;P;26936;2007
01;P;25002;2007
01;P;22831;2004
01;P;03984;2005
01;P;16044;2006
01;P;09519;2010
01;P;14073;2009
01;P;21825;2009
01;P;16113;2008
01;P;16433;2008
01;P;23373;2005
01;P;27028;2005
01;P;05675;2006
01;P;00136;2008
01;P;21462;2006
01;P;22122;2006
01;P;05645;2008
01;P;06099;2007
01;P;20198;2007
01;P;23792;2007
01;P;11356;2008
01;P;07039;2008
01;P;11669;2008
01;P;25136;2006
01;P;24519;2006
33;P;27203;2007
33;P;15603;2007
01;P;04496;2008
01;P;06309;2007
01;E;27126;2007
01;P;26954;2007
01;P;22726;2006
01;P;15349;2007
01;P;20401;2007
01;P;20400;2007
01;P;20846;2009
01;P;05057;2006
01;P;01477;2006
01;P;24151;2005
01;P;24796;2005
01;P;22577;2009
01;P;26675;2007
01;P;24240;2010
01;P;03947;2006
01;P;26492;2007
01;P;10541;2004
01;P;08736;1994
01;P;06013;2008
01;P;11873;2008
01;P;11583;2006
01;P;21375;2008
01;P;00189;2007
01;P;24515;2006
01;P;15169;2008
01;P;25379;2005
01;P;24575;2007
01;P;23012;2005
01;P;26472;2005
01;P;23002;2005
01;P;23004;2005
01;P;23006;2005
01;P;02140;2006
01;P;03007;2010
01;P;20700;2008
01;P;07201;2010
01;P;04387;2006
01;P;21374;2008
01;P;20783;2005
01;P;05181;2007
01;P;23566;2007
01;P;19735;2006
01;P;07082;2008
01;P;07083;2008
01;P;11390;2007
01;P;21224;2006
01;P;23882;2008
01;P;19261;2007
01;P;16256;2009
01;P;25849;2005
01;P;25851;2005
01;P;27894;2008
01;P;18141;2008
01;P;03165;2008
01;P;22759;2008
01;P;28324;2008
01;P;28322;2008
01;P;02851;2008
01;P;20257;2009
01;P;23660;2006
01;P;02439;2007
01;P;11615;2007
01;P;17056;2007
01;P;02855;2007
01;P;24408;2008
01;P;28966;2008
01;P;04778;2009
01;P;20848;2009
01;P;22895;2008
01;P;20969;2006
01;P;03677;2010
01;P;07517;2004
02;P;22853;2006
02;P;27170;2007
01;P;20043;2006
01;P;17455;2009
01;P;03253;2006
02;P;17839;2004
01;P;12243;2005
01;P;03556;2006
01;P;11931;2006
01;P;15012;2006
01;P;19733;2006
01;P;00133;2008
01;E;20909;2006
01;P;17376;2007
01;P;03321;2007
02;P;04726;2007
01;P;15470;2007
02;P;23984;2004
01;P;20942;2006
01;P;03893;2008
01;P;06185;2008
02;P;17353;2009
01;P;25645;2004
01;P;13504;2005
01;P;25989;2007
01;P;00937;2007
01;P;17521;2001
