01;P;03610;2010
01;P;24375;2010
01;P;15826;2005
01;P;26801;2005
01;P;17058;2007
01;P;27339;2004
01;P;04427;2007
01;P;23104;2005
01;P;29254;2008
01;P;29398;2009
01;P;00143;2003
01;P;25984;2007
01;P;18745;2010
01;P;04581;2006
01;P;01309;2009
01;P;06198;2007
01;P;10973;2007
01;P;19717;2007
01;P;22416;2005
01;P;19832;2006
01;P;19709;2007
01;P;27128;2008
01;P;04495;2008
01;P;18463;2005
01;P;20398;2007
01;P;27713;2009
01;P;27789;2009
01;P;26427;2009
01;P;03511;2011
01;P;25700;2011
01;P;13173;2010
01;P;09118;2009
01;P;10972;2007
01;P;00405;2011
01;P;22753;2011
01;P;18111;2008
01;P;06017;2008
01;P;06015;2008
01;P;06022;2008
01;P;06023;2008
01;P;06010;2008
01;P;18465;2009
01;P;15615;2009
01;P;16581;2009
01;P;27969;2009
01;P;07226;2010
01;P;19359;2010
01;P;06017;2011
01;P;10501;2011
01;P;20990;2011
01;P;20990;2011
01;P;05040;2008
01;P;09383;2009
01;P;27279;2005
01;P;10262;2007
01;P;04585;2006
01;P;21577;2006
01;P;08018;2008
01;P;07875;2008
01;P;16096;2009
01;P;07276;2010
01;P;29513;2008
01;P;23003;2005
01;P;28299;2008
01;P;06170;2011
01;P;20207;2011
01;P;06536;2010
01;P;20619;2009
01;P;20180;2008
01;P;15242;2008
01;P;26054;2008
01;P;20815;2008
01;P;19651;2009
01;P;15247;2008
01;P;22393;2007
01;P;29257;2008
01;P;11936;2006
01;P;27978;2008
01;P;02454;2009
01;P;05560;2008
01;P;19460;2007
01;P;19463;2007
01;P;15740;2006
01;P;23657;2006
01;P;23665;2006
01;P;16846;2009
01;P;05468;2010
01;P;00554;2010
01;P;09665;2010
01;P;09673;2010
01;P;19536;2010
01;P;23776;2010
01;P;27396;2010
01;P;04003;2011
01;P;17543;2011
01;P;19397;2011
01;P;19397;2011
01;P;27899;2008
02;P;24755;2003
01;P;02460;2006
01;P;11806;2006
01;P;21977;2006
01;P;22343;2007
01;P;29070;2008
01;P;19351;2008
01;P;03500;2008
01;P;06759;2008
01;P;06446;2008
01;P;18187;2009
01;P;23102;2009
01;P;04852;2009
01;P;23102;2009
01;P;08940;2010
01;P;29252;2010
01;P;10500;2011
01;P;10734;2011
01;P;05566;2008
01;P;09924;2007
01;P;05569;2008
19;P;04706;2008
01;P;18848;2009
01;P;21897;2009
01;P;29185;2010
01;P;25972;2008
04;P;04358;2006
04;P;11730;2006
01;P;02833;2007
01;P;03011;2007
01;P;29514;2008
01;P;26565;2009
01;P;04998;2010
01;P;22564;2007
01;P;22606;2008
01;P;26931;2009
